S.No,PubChem CID,Affinity (kcal/mol),CNN Score,RMSD l.b,RMSD u.b
1,1203,-4.93,0.392,0.0,0.0
2,31553,-5.97,0.285,0.0,0.0
3,439246,-3.99,0.443,0.0,0.0
4,440735,-4.47,0.293,0.0,0.0
5,440832,-6.25,0.353,0.0,0.0
6,441773,-4.46,0.34,0.0,0.0
7,441774,-7.97,0.233,0.0,0.0
8,445154,-3.78,0.527,0.0,0.0
9,5280343,-5.0,0.365,0.0,0.0
10,5280443,-4.0,0.4,0.0,0.0
11,5280863,-4.66,0.415,0.0,0.0
12,5280961,-3.58,0.499,0.0,0.0
13,5281654,-4.73,0.341,0.0,0.0
14,5317750,59.21,0.364,0.0,0.0
15,5391140,-5.51,0.404,0.0,0.0
16,68077,243.93,0.186,0.0,0.0
